year_film,year_ceremony,ceremony,category,name,film,win,total_noms,total_wins,imdb_id
2019,2020,92,Best Actor,Adam Driver,Marriage Story,0,,,
2019,2020,92,Best Actress,Scarlett Johansson,Marriage Story,0,,,
2019,2020,92,Best Picture,"Noah Baumbach and David Heyman, Producers",Marriage Story,0,,,
2019,2020,92,Best Actor,Leonardo DiCaprio,Once upon a Time...in Hollywood,0,,,
2019,2020,92,Best Director,Quentin Tarantino,Once upon a Time...in Hollywood,0,,,
2019,2020,92,Best Picture,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",Once upon a Time...in Hollywood,0,,,
2019,2020,92,Best Actor,Antonio Banderas,Pain and Glory,0,,,
2019,2020,92,Best Director,Bong Joon Ho,Parasite,1,,,
2019,2020,92,Best Picture,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite,1,,,
2019,2020,92,Best Director,Martin Scorsese,The Irishman,0,,,
2019,2020,92,Best Picture,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",The Irishman,0,,,
2019,2020,92,Best Actor,Jonathan Pryce,The Two Popes,0,,,
2020,2021,93,Best Director,Thomas Vinterberg,Another Round,0,,,
2020,2021,93,Best Picture,"Shaka King, Charles D. King and Ryan Coogler, Producers",Judas and the Black Messiah,0,,,
2020,2021,93,Best Actor,Chadwick Boseman,Ma Rainey's Black Bottom,0,,,
2020,2021,93,Best Actress,Viola Davis,Ma Rainey's Black Bottom,0,,,
2020,2021,93,Best Actor,Gary Oldman,Mank,0,,,
2020,2021,93,Best Director,David Fincher,Mank,0,,,
2020,2021,93,Best Picture,"CeÃ¡n Chaffin, Eric Roth and Douglas Urbanski, Producers",Mank,0,,,
2020,2021,93,Best Actor,Steven Yeun,Minari,0,,,
2020,2021,93,Best Director,Lee Isaac Chung,Minari,0,,,
2020,2021,93,Best Picture,"Christina Oh, Producer",Minari,0,,,
2020,2021,93,Best Actress,Frances McDormand,Nomadland,1,,,
2020,2021,93,Best Director,ChloÃ© Zhao,Nomadland,1,,,
2020,2021,93,Best Picture,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and ChloÃ© Zhao, Producers",Nomadland,1,,,
2020,2021,93,Best Actress,Vanessa Kirby,Pieces of a Woman,0,,,
2020,2021,93,Best Actress,Carey Mulligan,Promising Young Woman,0,,,
2020,2021,93,Best Director,Emerald Fennell,Promising Young Woman,0,,,
2020,2021,93,Best Picture,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",Promising Young Woman,0,,,
2020,2021,93,Best Actor,Riz Ahmed,Sound of Metal,0,,,
2020,2021,93,Best Picture,"Bert Hamelinck and Sacha Ben Harroche, Producers",Sound of Metal,0,,,
2020,2021,93,Best Actor,Anthony Hopkins,The Father,1,,,
2020,2021,93,Best Picture,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",The Father,0,,,
2020,2021,93,Best Picture,"Marc Platt and Stuart Besser, Producers",The Trial of the Chicago 7,0,,,
2020,2021,93,Best Actress,Andra Day,The United States vs. Billie Holiday,0,,,
2021,2022,94,Best Actor,Javier Bardem,Being the Ricardos,0,,,
2021,2022,94,Best Actress,Nicole Kidman,Being the Ricardos,0,,,
2021,2022,94,Best Director,Kenneth Branagh,Belfast,0,,,
2021,2022,94,Best Picture,"Laura Berwick, Kenneth Branagh, Becca Kovacik and Tamar Thomas, Producers",Belfast,0,,,
2021,2022,94,Best Picture,"Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers",CODA,1,,,
2021,2022,94,Best Picture,"Adam McKay and Kevin Messick, Producers",Don't Look Up,0,,,
2021,2022,94,Best Director,Ryusuke Hamaguchi,Drive My Car,0,,,
2021,2022,94,Best Picture,"Teruhisa Yamamoto, Producer",Drive My Car,0,,,
2021,2022,94,Best Picture,"Mary Parent, Denis Villeneuve and Cale Boyter, Producers",Dune,0,,,
2021,2022,94,Best Actor,Will Smith,King Richard,1,,,
2021,2022,94,Best Picture,"Tim White, Trevor White and Will Smith, Producers",King Richard,0,,,
2021,2022,94,Best Director,Paul Thomas Anderson,Licorice Pizza,0,,,
2021,2022,94,Best Picture,"Sara Murphy, Adam Somner and Paul Thomas Anderson, Producers",Licorice Pizza,0,,,
2021,2022,94,Best Picture,"Guillermo del Toro, J. Miles Dale and Bradley Cooper, Producers",Nightmare Alley,0,,,
2021,2022,94,Best Actress,PenÃ©lope Cruz,Parallel Mothers,0,,,
2021,2022,94,Best Actress,Kristen Stewart,Spencer,0,,,
2021,2022,94,Best Actress,Jessica Chastain,The Eyes of Tammy Faye,1,,,
2021,2022,94,Best Actress,Olivia Colman,The Lost Daughter,0,,,
2021,2022,94,Best Actor,Benedict Cumberbatch,The Power of the Dog,0,,,
2021,2022,94,Best Director,Jane Campion,The Power of the Dog,1,,,
2021,2022,94,Best Picture,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers",The Power of the Dog,0,,,
2021,2022,94,Best Actor,Denzel Washington,The Tragedy of Macbeth,0,,,
2021,2022,94,Best Actor,Andrew Garfield,"tick, tick...BOOM!",0,,,
2021,2022,94,Best Director,Steven Spielberg,West Side Story,0,,,
2021,2022,94,Best Picture,"Steven Spielberg and Kristie Macosko Krieger, Producers",West Side Story,0,,,
2022,2023,95,Best Actor,Paul Mescal,Aftersun,0,,,
2022,2023,95,Best Picture,"Malte Grunert, Producer",All Quiet on the Western Front,0,,,
2022,2023,95,Best Picture,"James Cameron and Jon Landau, Producers",Avatar: The Way of Water,0,,,
2022,2023,95,Best Actress,Ana de Armas,Blonde,0,,,
2022,2023,95,Best Actor,Austin Butler,Elvis,0,,,
2022,2023,95,Best Picture,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers",Elvis,0,,,
2022,2023,95,Best Actress,Michelle Yeoh,Everything Everywhere All at Once,1,,,
2022,2023,95,Best Director,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,1,,,
2022,2023,95,Best Picture,"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers",Everything Everywhere All at Once,1,,,
2022,2023,95,Best Actor,Bill Nighy,Living,0,,,
2022,2023,95,Best Actress,Cate Blanchett,TÃ¡r,0,,,
2022,2023,95,Best Director,Todd Field,TÃ¡r,0,,,
2022,2023,95,Best Picture,"Todd Field, Alexandra Milchan and Scott Lambert, Producers",TÃ¡r,0,,,
2022,2023,95,Best Actor,Colin Farrell,The Banshees of Inisherin,0,,,
2022,2023,95,Best Director,Martin McDonagh,The Banshees of Inisherin,0,,,
2022,2023,95,Best Picture,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",The Banshees of Inisherin,0,,,
2022,2023,95,Best Actress,Michelle Williams,The Fabelmans,0,,,
2022,2023,95,Best Director,Steven Spielberg,The Fabelmans,0,,,
2022,2023,95,Best Picture,"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers",The Fabelmans,0,,,
2022,2023,95,Best Actor,Brendan Fraser,The Whale,1,,,
2022,2023,95,Best Actress,Andrea Riseborough,To Leslie,0,,,
2022,2023,95,Best Picture,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer, Producers",Top Gun: Maverick,0,,,
2022,2023,95,Best Director,Ruben Ãstlund,Triangle of Sadness,0,,,
2022,2023,95,Best Picture,"Erik Hemmendorff and Philippe Bober, Producers",Triangle of Sadness,0,,,
2022,2023,95,Best Picture,"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers",Women Talking,0,,,
2023,2024,96,Best Actor,Jeffrey Wright,American Fiction,0,,,
2023,2024,96,Best Picture,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers",American Fiction,0,,,
2023,2024,96,Best Actress,Sandra HÃ¼ller,Anatomy of a Fall,0,,,
2023,2024,96,Best Director,Justine Triet,Anatomy of a Fall,0,,,
2023,2024,96,Best Picture,"Marie-Ange Luciani and David Thion, Producers",Anatomy of a Fall,0,,,
2023,2024,96,Best Picture,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers",Barbie,0,,,
2023,2024,96,Best Actress,Lily Gladstone,Killers of the Flower Moon,0,,,
2023,2024,96,Best Director,Martin Scorsese,Killers of the Flower Moon,0,,,
2023,2024,96,Best Picture,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers",Killers of the Flower Moon,0,,,
2023,2024,96,Best Actor,Bradley Cooper,Maestro,0,,,
2023,2024,96,Best Actress,Carey Mulligan,Maestro,0,,,
2023,2024,96,Best Picture,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers",Maestro,0,,,
2023,2024,96,Best Actress,Annette Bening,Nyad,0,,,
2023,2024,96,Best Actor,Cillian Murphy,Oppenheimer,1,,,
2023,2024,96,Best Director,Christopher Nolan,Oppenheimer,1,,,
2023,2024,96,Best Picture,"Emma Thomas, Charles Roven and Christopher Nolan, Producers",Oppenheimer,1,,,
2023,2024,96,Best Picture,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers",Past Lives,0,,,
2023,2024,96,Best Actress,Emma Stone,Poor Things,1,,,
2023,2024,96,Best Director,Yorgos Lanthimos,Poor Things,0,,,
2023,2024,96,Best Picture,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers",Poor Things,0,,,
2023,2024,96,Best Actor,Colman Domingo,Rustin,0,,,
2023,2024,96,Best Actor,Paul Giamatti,The Holdovers,0,,,
2023,2024,96,Best Picture,"Mark Johnson, Producer",The Holdovers,0,,,
2023,2024,96,Best Director,Jonathan Glazer,The Zone of Interest,0,,,
2023,2024,96,Best Picture,"James Wilson, Producer",The Zone of Interest,0,,,
2024,2025,97,Best Picture,"Fred Berger, James Mangold, Alex Heineman",A Complete Unknown,0,,,
2024,2025,97,Best Actor,Timothée Chalamet,A Complete Unknown,0,,,
2024,2025,97,Best Director,James Mangold,A Complete Unknown,0,,,
2024,2025,97,Best Picture,"Alex Coco, Samantha Quan, Sean Baker",Anora,1,,,
2024,2025,97,Best Actress,Mikey Madison,Anora,1,,,
2024,2025,97,Best Director,Sean Baker,Anora,1,,,
2024,2025,97,Best Picture,"Tessa Ross, Juliette Howell, Michael Jackman",Conclave,0,,,
2024,2025,97,Best Actor,Ralph Fiennes,Conclave,0,,,
2024,2025,97,Best Picture,"Mary Parent, Cale Boyter, Tanya Lapointe, Denis Villeneuve",Dune: Part Two,0,,,
2024,2025,97,Best Picture,"Pascal Caucheteux, Jacques Audiard",Emilia Pérez,0,,,
2024,2025,97,Best Actress,Karla Sofía Gascón,Emilia Pérez,0,,,
2024,2025,97,Best Director,Jacques Audiard,Emilia Pérez,0,,,
2024,2025,97,Best Picture,"Maria Carlota Bruno, Rodrigo Teixeira",I'm Still Here,0,,,
2024,2025,97,Best Actress,Fernanda Torres,I'm Still Here,0,,,
2024,2025,97,Best Picture,"Dede Gardner, Jeremy Kleiner, Joslyn Barnes",Nickel Boys,0,,,
2024,2025,97,Best Actor,Colman Domingo,Sing Sing,0,,,
2024,2025,97,Best Actor,Sebastian Stan,The Apprentice,0,,,
2024,2025,97,Best Picture,"Brady Corbet, D.J. Gugenheim, Brian Young, Andrew Morrison, Nick Gordon",The Brutalist,0,,,
2024,2025,97,Best Actor,Adrien Brody,The Brutalist,1,,,
2024,2025,97,Best Director,Brady Corbet,The Brutalist,0,,,
2024,2025,97,Best Picture,"Coralie Fargeat, Tim Bevan, Eric Fellner",The Substance,0,,,
2024,2025,97,Best Actress,Demi Moore,The Substance,0,,,
2024,2025,97,Best Director,Coralie Fargeat,The Substance,0,,,
2024,2025,97,Best Picture,Marc Platt,Wicked,0,,,
2024,2025,97,Best Actress,Cynthia Erivo,Wicked,0,,,
